playerid,awardID,yearID,lgID,tie,notes
goldspa01,Most Valuable Player,2022,NL,,
judgeaa01,Most Valuable Player,2022,AL,,
verlaju01,Cy Young Award,2022,AL,,
alcansa01,Cy Young Award,2022,NL,,
rodriju01,Rookie of the Year Award,2022,AL,,
harrimi04,Rookie of the Year Award,2022,NL,,
judgeaa01,Hank Aaron Award,2022,AL,,
goldspa01,Hank Aaron Award,2022,NL,,
turneju01,Roberto Clemente Award,2022,ML,,
trevijo01,Gold Glove,2022,AL,,C
guerrvl02,Gold Glove,2022,AL,,1B
gimenan01,Gold Glove,2022,AL,,2B
uriasra01,Gold Glove,2022,AL,,3B
penaje02,Gold Glove,2022,AL,,SS
kwanst01,Gold Glove,2022,AL,,LF
strawmy01,Gold Glove,2022,AL,,CF
tuckeky01,Gold Glove,2022,AL,,RF
biebesh01,Gold Glove,2022,AL,,P
lemahdj01,Gold Glove,2022,AL,,UT
realmjt01,Gold Glove,2022,NL,,C
walkech02,Gold Glove,2022,NL,,1B
rodgebr02,Gold Glove,2022,NL,,2B
arenano01,Gold Glove,2022,NL,,3B
swansda01,Gold Glove,2022,NL,,SS
happia01,Gold Glove,2022,NL,,LF
grishtr01,Gold Glove,2022,NL,,CF
bettsmo01,Gold Glove,2022,NL,,RF
friedma01,Gold Glove,2022,NL,,P
donovbr01,Gold Glove,2022,NL,,UT
kirkal01,Silver Slugger,2022,AL,,C
lowena01,Silver Slugger,2022,AL,,1B
altuvjo01,Silver Slugger,2022,AL,,2B
ramirjo01,Silver Slugger,2022,AL,,3B
bogaexa01,Silver Slugger,2022,AL,,SS
judgeaa01,Silver Slugger,2022,AL,,LF
rodriju01,Silver Slugger,2022,AL,,CF
troutmi01,Silver Slugger,2022,AL,,RF
alvaryo01,Silver Slugger,2022,AL,,DH
arraelu01,Silver Slugger,2022,AL,,UT
realmjt01,Silver Slugger,2022,NL,,C
goldspa01,Silver Slugger,2022,NL,,1B
mcneije01,Silver Slugger,2022,NL,,2B
arenano01,Silver Slugger,2022,NL,,3B
turnetr01,Silver Slugger,2022,NL,,SS
bettsmo01,Silver Slugger,2022,NL,,LF
schwaky01,Silver Slugger,2022,NL,,CF
sotoju01,Silver Slugger,2022,NL,,RF
belljo02,Silver Slugger,2022,NL,,DH
drurybr01,Silver Slugger,2022,NL,,UT
ohtansh01,Outstanding DH Award,2022,ML,,
verlaju01,Comeback Player of the Year,2022,AL,,
pujolal01,Comeback Player of the Year,2022,NL,,
diazed04,Reliever of the Year Award,2022,NL,,
claseem01,Reliever of the Year Award,2022,AL,,
stantmi03,All-Star Game MVP,2022,ML,,
judgeaa01,TSN Major League Player of the Year,2022,ML,,
penaje02,ALCS MVP,2022,AL,,
harpebr03,NLCS MVP,2022,NL,,
penaje02,World Series MVP,2022,ML,,
ohtansh01,Most Valuable Player,2023,AL,,
acunaro01,Most Valuable Player,2023,NL,,
colege01,Cy Young Award,2023,AL,,
snellbl01,Cy Young Award,2023,NL,,
hendegu01,Rookie of the Year Award,2023,AL,,
carroco02,Rookie of the Year Award,2023,NL,,
judgeaa01,Roberto Clemente Award,2023,AL,,
heimjo01,Gold Glove,2023,AL,,C
lowena01,Gold Glove,2023,AL,,1B
gimenan01,Gold Glove,2023,AL,,2B
chapmma01,Gold Glove,2023,AL,,3B
,Gold Glove,2023,AL,,"SS, Anthony Volpe"
kwanst01,Gold Glove,2023,AL,,LF
kiermke01,Gold Glove,2023,AL,,CF
garciad02,Gold Glove,2023,AL,,RF
berrijo01,Gold Glove,2023,AL,,P
dubonma01,Gold Glove,2023,AL,,UT
morenga01,Gold Glove,2023,NL,,C
walkech02,Gold Glove,2023,NL,,1B
hoernni01,Gold Glove,2023,NL,,2B
hayeske01,Gold Glove,2023,NL,,3B
swansda01,Gold Glove,2023,NL,,SS
happia01,Gold Glove,2023,NL,,LF
,Gold Glove,2023,NL,,"CF, Brenton Doyle"
tatisfe02,Gold Glove,2023,NL,,RF
wheelza01,Gold Glove,2023,NL,,P
kimha01,Gold Glove,2023,NL,,UT
rutscad01,Silver Slugger,2023,AL,,C
diazya01,Silver Slugger,2023,AL,,1B
semiema01,Silver Slugger,2023,AL,,2B
deverra01,Silver Slugger,2023,AL,,3B
seageco01,Silver Slugger,2023,AL,,SS
roberlu01,Silver Slugger,2023,AL,,OF
rodriju01,Silver Slugger,2023,AL,,OF
tuckeky01,Silver Slugger,2023,AL,,OF
ohtansh01,Silver Slugger,2023,AL,,DH
hendegu01,Silver Slugger,2023,AL,,UT
contrwi02,Silver Slugger,2023,NL,,C
olsonma02,Silver Slugger,2023,NL,,1B
arraelu01,Silver Slugger,2023,NL,,2B
rileyau01,Silver Slugger,2023,NL,,3B
lindofr01,Silver Slugger,2023,NL,,SS
acunaro01,Silver Slugger,2023,NL,,OF
bettsmo01,Silver Slugger,2023,NL,,OF
sotoju01,Silver Slugger,2023,NL,,OF
harpebr03,Silver Slugger,2023,NL,,DH
bellico01,Silver Slugger,2023,NL,,UT
ohtansh01,Outstanding DH Award,2023,ML,,
hendrli01,Comeback Player of the Year,2023,AL,,
bellico01,Comeback Player of the Year,2023,NL,,
bautife01,Reliever of the Year Award,2023,AL,,
willide03,Reliever of the Year Award,2023,NL,,
diazel01,All-Star Game MVP,2023,ML,,
acunaro01,TSN Major League Player of the Year,2023,ML,,
garciad02,ALCS MVP,2023,AL,,
marteke01,NLCS MVP,2023,NL,,
seageco01,World Series MVP,2023,ML,,
